survived,sex,passenger_class,name,age,fare,n_siblings_spouses_aboard,n_parents_children_aboard
Yes,Male,Third,Master. Assad Alexander Thomas,0.42,8.5167,0,1
Yes,Male,Third,Mr. Oskar Arvid Hedman,27,6.975,0,0
No,Male,Third,Mr. Karl Johan Johansson,31,7.775,0,0
No,Male,First,Mr. Thomas Jr Andrews,39,0,0,0
No,Female,Third,Miss. Ellen Natalia Pettersson,18,7.775,0,0
No,Male,Second,Mr. August Meyer,39,13,0,0
Yes,Female,First,Mrs. Norman Campbell (Bertha Griggs) Chambers,33,53.1,1,0
No,Male,Third,Mr. William Alexander,26,7.8875,0,0
No,Male,Third,Mr. James Lester,39,24.15,0,0
No,Male,Second,Mr. Richard James Slemen,35,10.5,0,0
No,Female,Third,Miss. Ebba Iris Alfrida Andersson,6,31.275,4,2
No,Male,Third,Mr. Ernest Portage Tomlin,30.5,8.05,0,0
No,Male,First,Mr. Richard Fry,39,0,0,0
No,Female,Third,Miss. Wendla Maria Heininen,23,7.925,0,0
No,Male,Second,Mr. Albert Mallet,31,37.0042,1,1
No,Male,Third,Mr. John Fredrik Alexander Holm,43,6.45,0,0
No,Male,Third,Master. Karl Thorsten Skoog,10,27.9,3,2
Yes,Female,First,Mrs. Charles Melville (Clara Jennings Gregg) Hays,52,93.5,1,1
Yes,Male,Third,Mr. Nikola Lulic,27,8.6625,0,0
No,Male,First,Jonkheer. John George Reuchlin,38,0,0,0
Yes,Female,Third,Mrs. (Beila) Moor,27,12.475,0,1
No,Male,Third,Master. Urho Abraham Panula,2,39.6875,4,1
No,Male,Third,Mr. John Flynn,36,6.95,0,0
No,Male,Third,Mr. Len Lam,23,56.4958,0,0
Yes,Male,Second,Master. Andre Mallet,1,37.0042,0,2
Yes,Male,Third,Mr. Thomas Joseph McCormack,19,7.75,0,0
Yes,Female,First,Mrs. George Nelson (Martha Evelyn) Stone,62,80,0,0
Yes,Female,Third,Mrs. Antoni (Selini Alexander) Yasbeck,15,14.4542,1,0
Yes,Male,Second,Master. George Sibley Richards,0.83,18.75,1,1
No,Male,Third,Mr. Amin Saad,30,7.2292,0,0
No,Male,Third,Mr. Albert Augustsson,23,7.8542,0,0
No,Male,Third,Mr. Owen George Allum,18,8.3,0,0
Yes,Female,First,Miss. Sara Rebecca Compton,39,83.1583,1,1
No,Male,Third,Mr. Jakob Pasic,21,8.6625,0,0
No,Male,Third,Mr. Maurice Sirota,20,8.05,0,0
Yes,Male,Third,Mr. Chang Chip,32,56.4958,0,0
Yes,Male,First,Mr. Pierre Marechal,29,29.7,0,0
No,Male,Third,Mr. Ilmari Rudolf Alhomaki,20,7.925,0,0
No,Male,Second,Mr. Thomas Charles Mudd,16,10.5,0,0
Yes,Female,First,Miss. Augusta Serepeca,30,31,0,0
No,Male,Third,Mr. Peter L Lemberopolous,34.5,6.4375,0,0
No,Male,Third,Mr. Jeso Culumovic,17,8.6625,0,0
No,Male,Third,Mr. Anthony Abbing,42,7.55,0,0
No,Male,Third,Mr. Douglas Bullen Sage,18,69.55,8,2
No,Male,Third,Mr. Marin Markoff,35,7.8958,0,0
No,Male,Second,Rev. John Harper,28,33,0,1
Yes,Female,First,Mrs. Samuel L (Edwiga Grabowska) Goldenberg,40,89.1042,1,0
No,Male,Third,Master. Sigvard Harald Elias Andersson,4,31.275,4,2
No,Male,Third,Mr. Johan Svensson,74,7.775,0,0
No,Female,Third,Miss. Nourelain Boulos,9,15.2458,1,1
Yes,Female,First,Miss. Mary Conover Lines,16,39.4,0,1
No,Female,Second,Mrs. Ernest Courtenay (Lilian Hughes) Carter,44,26,1,0
Yes,Female,Third,Mrs. Sam (Leah Rosen) Aks,18,9.35,0,1
Yes,Female,First,Mrs. George Dennick (Mary Hitchcock) Wick,45,164.8667,1,1
Yes,Male,First,Mr. Peter Denis Daly,51,26.55,0,0
Yes,Female,Third,Mrs. Solomon (Latifa Qurban) Baclini,24,19.2583,0,3
No,Male,Third,Mr. Raihed Razi,30,7.2292,0,0
No,Male,Third,Mr. Claus Peter Hansen,41,14.1083,2,0
No,Male,Second,Mr. Frederick Edward Giles,21,11.5,1,0
Yes,Female,First,Mrs. Frederick Joel (Margaret Welles Barron) Swift,48,25.9292,0,0
No,Female,Third,Miss. Dorothy Edith Sage,14,69.55,8,2
No,Male,Second,Mr. John William Gill,24,13,0,0
Yes,Female,Second,Mrs. (Karolina) Bystrom,42,13,0,0
Yes,Female,Second,Miss. Asuncion Duran y More,27,13.8583,1,0
No,Male,First,Mr. Washington Augustus II Roebling,31,50.4958,0,0
No,Male,Third,Mr. Philemon van Melkebeke,23,9.5,0,0
Yes,Male,Third,Master. Harold Theodor Johnson,4,11.1333,1,1
No,Male,Third,Mr. Cerin Balkic,26,7.8958,0,0
Yes,Female,First,Mrs. Richard Leonard (Sallie Monypeny) Beckwith,47,52.5542,1,1
No,Male,First,Mr. Frans Olof Carlsson,33,5,0,0
No,Male,Third,Mr. Victor Vander Cruyssen,47,9,0,0
Yes,Female,Second,Mrs. Samuel (Hannah Wizosky) Abelson,28,24,1,0
Yes,Female,Third,Miss. Adele Kiamie Najib,15,7.225,0,0
No,Male,Third,Mr. Alfred Ossian Gustafsson,20,9.8458,0,0
No,Male,Third,Mr. Nedelio Petroff,19,7.8958,0,0
No,Male,Third,Mr. Kristo Laleff,23,7.8958,0,0
Yes,Female,First,Mrs. Thomas Jr (Lily Alexenia Wilson) Potter,56,83.1583,0,1
Yes,Female,Second,Mrs. William (Imanita Parrish Hall) Shelley,25,26,0,1
No,Male,Third,Mr. Johann Markun,33,7.8958,0,0
No,Female,Third,Miss. Gerda Ulrika Dahlberg,22,10.5167,0,0
No,Male,Second,Mr. Frederick James Banfield,28,10.5,0,0
No,Male,Third,Mr. Henry Jr Sutehall,25,7.05,0,0
No,Female,Third,Mrs. William (Margaret Norton) Rice,39,29.125,0,5
No,Male,Second,Rev. Juozas Montvila,27,13,0,0
Yes,Female,First,Miss. Margaret Edith Graham,19,30,0,0
No,Female,Third,Miss. Catherine Helen Johnston,7,23.45,1,2
Yes,Male,First,Mr. Karl Howell Behr,26,30,0,0
No,Male,Third,Mr. Patrick Dooley,32,7.75,0,0
